Country,Police,Ambulance,Fire,Language
Afghanistan,100119,102,+93 (0) 202 101 333,Afghan Persian
Albania,129,127,128,Albanian 
Algeria,17,,14,Arabic 
American Samoa,911,911,911,Samoan 
Andorra,112,112,112,Catalan
Angola,113,115,112,Portuguese
Anguilla,911,911,911,English 
Antigua and Barbuda,911,911,911,English
Argentina,911,107,100,Spanish
Armenia,102,103,101,Armenian
Aruba,911,911,911,Dutch
Australia,0,0,0,English
Austria,112,112,112,German
Azerbaijan,102,103,101,Azerbaijani
"Bahamas, The",911919,911919,911919,English
Bahrain,999,999,999,Arabic
Bangladesh,999,,,Bangla
Barbados,211,511,311,English
Belarus,102,103,101,Belarusian
Belgium,112,112,112,Dutch
Belize,911,911,911,English 
Benin,,,,French 
Bermuda,911,911,911,English 
Bhutan,113,112,110,Dzongkha
Bolivia,110,118,119,Spanish 
Bosnia and Herzegovina,122,124,123,Bosnian
Botswana,999,997,998,Setswana
Brazil,190,192,193,Portuguese
British Virgin Islands,911999,911999,911999,English
Brunei,993,991,955,Malay
Bulgaria,112,112,112,Bulgarian
Burkina Faso,,,,French
Burma,999,999,999,Burmese
Burundi,,,,Kirundi 
Cambodia,117,119,118,Khmer
Cameroon,,,,English
Canada,911,911,911,English
Cape Verde,132,130,131,Portuguese
Cayman Islands,911,911,911,English
Central African Republic,117,,,French
Chad,17,,18,French 
Chile,133,131,132,Spanish
China,110,120,119,Mandarin
Christmas Island,0,0,0,English 
Cocos (Keeling) Islands,,,,Malay
Colombia,123,123,123,Spanish
Comoros,17,,,Arabic 
"Congo, Democratic Republic of the",,,,French
"Congo, Republic of the",24206665-4804,24206665-4804,24206665-4804,French
Cook Islands,999,998,996,English
Costa Rica,911,911,911,Spanish 
Côte d'Ivoire,180111,111,110111170,French
Croatia,112,112,112,Croatian
Cuba,106,,105,Spanish
Cyprus,112,112,112,Greek
Czech Republic,112,112,112,Czech
Denmark,112,112,112,Danish
Djibouti,17,351351,18,French 
Dominica,911999,911999,911999,English
Dominican Republic,911,911,911,Spanish
Ecuador,101,101,101,Spanish 
Egypt,122,122180,122123,Arabic 
El Salvador,911,911,911,Spanish
Equatorial Guinea,,,,Spanish 
Eritrea,,,,Afar
Estonia,112,112,112,Estonian
Ethiopia,99191,99192,99193,Amharic
Falkland Islands (Islas Malvinas),999,999,999,English
Faroe Islands,112,112,112,Faroese 
Fiji,911,911,9170,English
Finland,112,112,112,Finnish 
France,112,112,112,French 
French Guiana,112,112,112,French
French Polynesia,17,15,18,French 
Gabon,1730,1300-1399,18,French
"Gambia, The",117,116,118,English 
Georgia,22,22,22,Georgian 
Germany,112,112,112,German
Ghana,191,193,192,English
Gibraltar,112,190,190,English
Greece,112,112,112,Greek
Greenland,,,,Greenlandic 
Grenada,,,,English 
Guadeloupe,,,,French 
Guam,911,911,911,English 
Guatemala,122123120,122123120,122123120,Spanish 
Guernsey,999,999,999,English
Guinea,,,,French
Guinea-Bissau,,,,Portuguese
Guyana,911,911913,911,English
Haiti,114,114,114,French 
Holy See (Vatican City),112,112,112,Italian
Honduras,199,199,199,Spanish
Hong Kong,999,,999,Chinese 
Hungary,112,112,112,Hungarian
Iceland,112,112,112,Icelandic
India,100,102,101,English 
Indonesia,110,118,113,Bahasa Indonesia
Iran,110,115,125,Persian 
Iraq,122104,122,122115,Arabic
Ireland,112,112,112,English
Israel,100,100101,100102,Hebrew 
Italy,112,112,112,Italian 
Jamaica,911,911,911,English
Japan,110,119,119,Japanese
Jersey,112,112,112,English
Jordan,191,191,191,Arabic 
Kazakhstan,103,103,103,Kazakh
Kenya,999,999,999,English 
Kiribati,999,999,999,English
"Korea, North",,,,Korean
"Korea, South",112,112119,112119,Korean
Kuwait,112,112,112,Arabic 
Kyrgyzstan,102,103,101,Kyrgyz 
Laos,191,195,190,Lao
Latvia,112,112,112,Latvian
Lebanon,112,112,112,Arabic 
Lesotho,123124,121,122,Sesotho 
Liberia,911,911,911,English 
Libya,193,193,193,Arabic
Liechtenstein,112,112,112,German 
Lithuania,112,112,112,Lithuanian 
Luxembourg,112,112,112,Luxembourgish
Macau,999,999,999,Cantonese
Macedonia [FYROM],112,112,112,Macedonian
Madagascar,117,117,117118,French 
Malawi,997,998,999,Chichewa 
Malaysia,999,999,999,Bahasa Melayu
Maldives,119,102,118,Maldivian Dhivehi 
Mali,18,15,17,French 
Malta,112,112,112,Maltese 
Marshall Islands,911,911,911,Marshallese
Martinique,17,15,18,French
Mauritania,117,,118,Arabic 
Mauritius,999,114,115,French Creole
Mayotte,,15,,French
Mexico,66,66,66,Spanish
"Micronesia, Federated States of",911,911,911,English 
Moldova,902,903,901,Moldovan
Monaco,112,112,112,French 
Mongolia,102,103,101,Khalkha Mongol 
Montserrat,911999,911999,911999,English
Morocco,190,190,190,Arabic 
Mozambique,119,117,198,Emakhuwa 
Namibia,1011,2032276,2032270,English
Nauru,118117,118117,118117,Nauruan
Nepal,100,100,100101,Nepali 
Netherlands,112,112,112,Dutch 
New Caledonia,17,15,18,French
New Zealand,111,111,111,English 
Nicaragua,118,118,118,Spanish
Niger,,,,French 
Nigeria,199,199,199,English
Niue,999,999,999,English
Norfolk Island,0,0,0,English 
Northern Mariana Islands,,,,Chinese 
Norway,112,112,112,Bokmal Norwegian 
Oman,9999,9999,9999,Arabic 
Pakistan,15,15,1516,Urdu
Palau,911,911,911,Palauan 
Panama,911,911,911,Spanish 
Papua New Guinea,0,0,0,Melanesian Pidgin
Paraguay,911,911,911,Spanish 
Peru,105,117,116,Spanish 
Philippines,117,117,117,Filipino
Pitcairn Islands,,,,English 
Poland,112,112,112,Polish
Portugal,112,112,112,Portuguese 
Puerto Rico,911,911,911,Spanish
Qatar,999,999,999,Arabic 
Réunion,17,15112,18,French 
Romania,112,112,112,Romanian 
Russia,2,3,1,Russian
Rwanda,112,,,Kinyarwanda
Saint Helena,911,911,911,English
Saint Kitts and Nevis,911,911,911,English
Saint Lucia,911,911,911,English 
Saint Pierre and Miquelon,17,15,18,French 
Saint Vincent and the Grenadines,911999,911999,911999,English
Samoa,995,996,994,Samoan
San Marino,113,118,115,Italian
Saudi Arabia,999,997,998,Arabic
Senegal,8.00E+17,8.00E+17,8.00E+17,French 
Serbia,112,112,112,Serbian
Seychelles,999,999,999,Creole 
Sierra Leone,999,999,19,English 
Singapore,999,995,995,Mandarin 
Slovakia,112,112,112,Slovak
Slovenia,113,112,112,Slovenian
Solomon Islands,999,999,999,Melanesian pidgin 
Somalia,,,,Somali 
South Africa,10111,10177,10177,IsiZulu 
Spain,112,112,112,Castilian Spanish
Sri Lanka,119118,110,110,Sinhala
Sudan,112,,,Arabic 
Suriname,115,115,115,Dutch 
Svalbard,112,112,112,Norwegian
Swaziland,999,999,999,English
Sweden,112,112,112,Swedish
Switzerland,112,112,112,German 
Syria,112,110,113,Arabic 
Taiwan,110,119,119,Mandarin
Tajikistan,2,3,1,Tajik 
Tanzania,111,111,111,Swahili 
Thailand,191,1554,199,Thai
Togo,117171,242,118,French 
Tokelau,,,,Tokelauan 
Tonga,117171172,242,118,Tongan
Trinidad and Tobago,999,990,990,English 
Tunisia,197,197,197,Arabic 
Turkey,155,112,155,Turkish 
Turkmenistan,3,3,3,Turkmen
Turks and Caicos Islands,911999,911999,911999,English
Tuvalu,911,911,911,Tuvaluan
Uganda,999,999,999,English
Ukraine,112,112,112,Ukrainian 
United Arab Emirates,998999,998999,998999,Arabic 
United Kingdom,999,999,999,English
United States,911,911,911,English 
Uruguay,911,911,911,Spanish
Uzbekistan,2,3,1,Uzbek 
Vanuatu,112,112,112,pidgin
Venezuela,171,171,171,Spanish 
Vietnam,113,115,114,Vietnamese 
Virgin Islands,911,911,911,English 
Wallis and Futuna,,,,Wallisian 
West Bank,101,101,101,Arabic
Western Sahara,,150,,Arabic
Yemen,199,199,199,Arabic
Zambia,999,991,993,English 
Zimbabwe,999,994,993,English 
